area,promotion_bureau,commune,type,april,may,june,july,august,september,october,november,december,january,february,march,sum,previous_year,comparison_with_previous_year
オホーツク,オホーツク,清里町,内宿泊客,0.5,1,1.5,3.8,5.2,2.5,1.1,0.5,0.4,0.4,0.8,0.5,18.2,14.6,124.657534,
オホーツク,オホーツク,清里町,宿泊客延数,0.5,1,1.5,3.8,5.2,2.5,1.1,0.5,0.4,0.4,0.8,0.5,18.2,15,121.333333,
オホーツク,オホーツク,小清水町,入込総数,13.1,38.7,67.8,95.1,80.9,57.3,29.9,12,10.4,9.8,14.4,12.7,442.1,439.6,100.568699,
オホーツク,オホーツク,小清水町,内道外客,9.2,26.3,50.2,67.5,57.4,40.6,20,8.5,7.3,6.9,10.2,9,313.1,311.2,100.61054,
オホーツク,オホーツク,小清水町,内道内客,3.9,12.4,17.6,27.6,23.5,16.7,9.9,3.5,3.1,2.9,4.2,3.7,129,128.4,100.46729,
オホーツク,オホーツク,小清水町,内日帰客,12.8,38.2,67.4,94.1,79.5,56.6,29.5,11.6,10.1,9.6,14.2,12.5,436.1,433,100.715935,
オホーツク,オホーツク,小清水町,内宿泊客,0.3,0.5,0.4,1,1.4,0.7,0.4,0.4,0.3,0.2,0.2,0.2,6,6.6,90.909091,
オホーツク,オホーツク,小清水町,宿泊客延数,0.3,0.5,0.4,1.1,1.5,0.8,0.4,0.4,0.3,0.2,0.2,0.2,6.3,6.6,95.454545,
オホーツク,オホーツク,訓子府町,入込総数,1.7,4.6,4.2,18.5,6.2,4.6,4.1,1.9,1.4,1.6,1.4,1.5,51.7,58.3,88.679245,
オホーツク,オホーツク,訓子府町,内道外客,0,0,0,0,0,0,0,0,0,0,0,0,0,0,－,
オホーツク,オホーツク,訓子府町,内道内客,1.7,4.6,4.2,18.5,6.2,4.6,4.1,1.9,1.4,1.6,1.4,1.5,51.7,58.3,88.679245,
オホーツク,オホーツク,訓子府町,内日帰客,1.7,4.6,4.2,18.5,6.2,4.6,4.1,1.9,1.4,1.6,1.4,1.5,51.7,58.3,88.679245,
