area,promotion_bureau,commune,type,april,may,june,july,august,september,october,november,december,january,february,march,sum,previous_year,comparison_with_previous_year
オホーツク,オホーツク,小清水町,内道内客,5.199999999999999,13.899999999999999,18.4,31.299999999999997,28.30000000000001,18.799999999999997,14.3,5.4,4.1,4.1,6.299999999999999,5.499999999999998,155.60000000000002,120.19999999999999,129.45091514143098
オホーツク,オホーツク,小清水町,内日帰客,17.5,43.199999999999996,70.2,106.7,96.10000000000001,63.9,42.4,18.0,13.7,13.6,21.4,18.599999999999998,525.3,405.0,129.7037037037037
オホーツク,オホーツク,小清水町,内宿泊客,0.2,0.2,0.3,1.0,1.3,0.6,0.6,0.5,0.3,0.3,0.3,0.3,5.8999999999999995,5.200000000000001,113.46153846153844
オホーツク,オホーツク,小清水町,宿泊客延数,0.2,0.2,0.3,1.1,1.4,0.6,0.6,0.5,0.4,0.3,0.4,0.3,6.300000000000001,5.4,116.66666666666667
オホーツク,オホーツク,訓子府町,入込総数,1.8,4.2,4.0,17.0,6.2,4.2,3.9,2.0,1.4,1.5,1.3,1.7,49.2,53.0,92.83018867924528
オホーツク,オホーツク,訓子府町,内道外客,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,－
オホーツク,オホーツク,訓子府町,内道内客,1.8,4.2,4.0,17.0,6.2,4.2,3.9,2.0,1.4,1.5,1.3,1.7,49.2,53.0,92.83018867924528
オホーツク,オホーツク,訓子府町,内日帰客,1.8,4.2,4.0,17.0,6.2,4.2,3.9,2.0,1.4,1.5,1.3,1.7,49.2,53.0,92.83018867924528
オホーツク,オホーツク,訓子府町,内宿泊客,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,－
オホーツク,オホーツク,訓子府町,宿泊客延数,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,－
オホーツク,オホーツク,置戸町,入込総数,8.3,9.8,15.0,9.7,12.0,8.7,9.0,5.7,4.8,7.0,4.8,6.2,101.0,29.0,348.2758620689655
オホーツク,オホーツク,置戸町,内道外客,0.1,0.1,0.2,0.4,0.5,0.2,0.2,0.1,0.0,0.1,0.0,0.1,2.0,0.6,333.33333333333337
オホーツク,オホーツク,置戸町,内道内客,8.200000000000001,9.700000000000001,14.8,9.299999999999999,11.5,8.5,8.8,5.6000000000000005,4.8,6.9,4.8,6.1000000000000005,98.99999999999999,28.400000000000002,348.59154929577454
オホーツク,オホーツク,置戸町,内日帰客,8.200000000000001,9.5,14.6,9.2,11.5,8.299999999999999,8.9,5.6000000000000005,4.7,7.0,4.7,6.2,98.4,28.9,340.48442906574394
オホーツク,オホーツク,置戸町,内宿泊客,0.1,0.3,0.4,0.5,0.5,0.4,0.1,0.1,0.1,0.0,0.1,0.0,2.6000000000000005,0.1,2600.0000000000005
オホーツク,オホーツク,置戸町,宿泊客延数,0.1,0.3,0.4,0.5,0.5,0.4,0.1,0.1,0.1,0.0,0.1,0.0,2.6000000000000005,0.1,2600.0000000000005
オホーツク,オホーツク,佐呂間町,入込総数,8.9,28.2,16.7,25.0,38.9,24.3,17.2,7.6,4.2,4.3,6.5,6.5,188.29999999999998,166.0,113.43373493975903
オホーツク,オホーツク,佐呂間町,内道外客,1.7,9.4,7.5,13.8,21.5,10.1,4.7,0.9,1.0,1.1,2.3,1.3,75.3,58.20000000000002,129.38144329896903
オホーツク,オホーツク,佐呂間町,内道内客,7.2,18.799999999999997,9.2,11.2,17.4,14.200000000000001,12.5,6.699999999999999,3.2,3.1999999999999997,4.2,5.2,113.0,107.79999999999998,104.82374768089056
オホーツク,オホーツク,佐呂間町,内日帰客,8.6,27.5,15.799999999999999,23.7,36.9,23.3,16.4,7.1,3.8000000000000003,3.8,6.1,6.2,179.20000000000002,156.8,114.28571428571428
オホーツク,オホーツク,佐呂間町,内宿泊客,0.3,0.7,0.9,1.3,2.0,1.0,0.8,0.5,0.4,0.5,0.4,0.3,9.100000000000001,9.200000000000001,98.91304347826087
オホーツク,オホーツク,佐呂間町,宿泊客延数,0.4,0.8,1.1,1.7,2.4,1.2,0.9,0.5,0.5,0.6,0.4,0.4,10.9,9.900000000000002,110.10101010101008
オホーツク,オホーツク,遠軽町,入込総数,10.9,31.4,22.9,38.9,61.9,53.1,11.2,9.1,8.2,15.7,14.6,11.7,289.59999999999997,264.4,109.53101361573374
オホーツク,オホーツク,遠軽町,内道外客,1.8,5.3,4.9,6.7,11.0,8.6,1.7,1.4,1.2,2.4,2.2,1.7,48.900000000000006,43.1,113.4570765661253
オホーツク,オホーツク,遠軽町,内道内客,9.1,26.099999999999998,18.0,32.199999999999996,50.9,44.5,9.5,7.699999999999999,6.999999999999999,13.299999999999999,12.399999999999999,10.0,240.7,221.29999999999995,108.76638047898781
オホーツク,オホーツク,遠軽町,内日帰客,9.700000000000001,28.9,20.4,33.5,49.7,49.7,8.399999999999999,6.0,6.3999999999999995,13.799999999999999,12.799999999999999,10.0,249.3,220.7,112.95876755777074
オホーツク,オホーツク,遠軽町,内宿泊客,1.2,2.5,2.5,5.4,12.2,3.4,2.8,3.1,1.8,1.9,1.8,1.7,40.3,43.7,92.21967963386727
オホーツク,オホーツク,遠軽町,宿泊客延数,1.3,2.6,2.6,5.6,12.5,3.6,2.8,3.1,1.9,2.0,1.9,1.8,41.699999999999996,47.8,87.23849372384936
オホーツク,オホーツク,湧別町,入込総数,24.5,138.6,45.4,54.7,80.7,45.5,34.4,21.0,18.0,19.0,18.4,21.5,521.6999999999999,519.0999999999999,100.50086688499327
オホーツク,オホーツク,湧別町,内道外客,7.0,39.6,13.5,15.2,20.4,11.9,9.6,6.1,5.4,5.6,5.4,6.4,146.1,144.00000000000003,101.45833333333331
オホーツク,オホーツク,湧別町,内道内客,17.5,99.0,31.9,39.5,60.300000000000004,33.6,24.799999999999997,14.9,12.6,13.4,12.999999999999998,15.1,375.6,375.09999999999997,100.13329778725675
オホーツク,オホーツク,湧別町,内日帰客,24.4,137.9,42.5,53.1,77.8,44.7,34.0,20.8,17.9,18.9,18.299999999999997,21.3,511.6,509.4,100.43188064389479
オホーツク,オホーツク,湧別町,内宿泊客,0.1,0.7,2.9,1.6,2.9,0.8,0.4,0.2,0.1,0.1,0.1,0.2,10.099999999999998,9.699999999999996,104.12371134020621
オホーツク,オホーツク,湧別町,宿泊客延数,0.1,0.7,2.9,1.6,2.9,0.8,0.4,0.2,0.1,0.1,0.1,0.2,10.099999999999998,9.699999999999996,104.12371134020621
オホーツク,オホーツク,滝上町,入込総数,0.9,33.1,3.9,3.2,3.3,9.3,3.8,1.7,1.0,1.0,3.5,1.8,66.5,64.8,102.62345679012346
オホーツク,オホーツク,滝上町,内道外客,0.1,3.3,0.3,0.3,0.3,0.9,0.3,0.3,0.2,0.1,0.2,0.1,6.3999999999999995,6.699999999999999,95.52238805970148
オホーツク,オホーツク,滝上町,内道内客,0.8,29.8,3.6,2.9000000000000004,3.0,8.4,3.5,1.4,0.8,0.9,3.3,1.7,60.099999999999994,58.1,103.44234079173837
オホーツク,オホーツク,滝上町,内日帰客,0.7,31.900000000000002,2.7,2.0,2.0999999999999996,8.3,2.9,1.2999999999999998,0.5,0.7,3.0,1.5,57.6,52.7,109.29791271347248
オホーツク,オホーツク,滝上町,内宿泊客,0.2,1.2,1.2,1.2,1.2,1.0,0.9,0.4,0.5,0.3,0.5,0.3,8.900000000000002,12.1,73.55371900826448
オホーツク,オホーツク,滝上町,宿泊客延数,0.2,1.2,1.2,1.2,1.2,1.0,0.9,0.4,0.5,0.3,0.5,0.3,8.900000000000002,12.1,73.55371900826448
オホーツク,オホーツク,興部町,入込総数,1.9,4.9,3.1,5.5,7.5,4.1,2.8,1.1,0.4,0.8,0.9,1.0,34.0,38.0,89.47368421052632
オホーツク,オホーツク,興部町,内道外客,0.2,0.5,0.3,0.6,0.7,0.4,0.1,0.1,0.0,0.1,0.1,0.1,3.2,3.3,96.96969696969698
オホーツク,オホーツク,興部町,内道内客,1.7,4.4,2.8000000000000003,4.9,6.8,3.6999999999999997,2.6999999999999997,1.0,0.4,0.7000000000000001,0.8,0.9,30.799999999999997,34.699999999999996,88.76080691642652
オホーツク,オホーツク,興部町,内日帰客,1.9,4.9,3.1,5.2,7.1,3.8999999999999995,2.5,0.9000000000000001,0.30000000000000004,0.7000000000000001,0.8,0.9,32.2,37.1,86.79245283018868
オホーツク,オホーツク,興部町,内宿泊客,0.0,0.0,0.0,0.3,0.4,0.2,0.3,0.2,0.1,0.1,0.1,0.1,1.8000000000000003,0.9000000000000001,200.0
オホーツク,オホーツク,興部町,宿泊客延数,0.0,0.0,0.0,0.3,0.4,0.2,0.3,0.2,0.1,0.1,0.1,0.1,1.8000000000000003,0.9000000000000001,200.0
オホーツク,オホーツク,西興部村,入込総数,2.1,3.8,2.5,3.8,5.3,3.2,2.8,1.9,1.4,1.3,1.3,1.9,31.299999999999997,34.3,91.25364431486881
オホーツク,オホーツク,西興部村,内道外客,0.0,0.0,0.1,1.1,1.3,1.0,0.3,0.0,0.0,0.0,0.0,0.0,3.8,3.8,100.0
オホーツク,オホーツク,西興部村,内道内客,2.1,3.8,2.4,2.6999999999999997,4.0,2.2,2.5,1.9,1.4,1.3,1.3,1.9,27.499999999999996,30.500000000000004,90.16393442622949
オホーツク,オホーツク,西興部村,内日帰客,1.8,3.1999999999999997,2.0,2.9,4.199999999999999,2.3000000000000003,1.9,1.0999999999999999,0.7999999999999999,0.8,0.8,1.2999999999999998,23.1,26.199999999999992,88.16793893129774
オホーツク,オホーツク,西興部村,内宿泊客,0.3,0.6,0.5,0.9,1.1,0.9,0.9,0.8,0.6,0.5,0.5,0.6,8.2,8.1,101.23456790123457
オホーツク,オホーツク,西興部村,宿泊客延数,0.3,0.6,0.5,0.9,1.1,0.9,0.9,0.8,0.6,0.5,0.5,0.6,8.2,8.1,101.23456790123457
オホーツク,オホーツク,雄武町,入込総数,6.7,10.8,9.4,9.0,10.9,8.2,5.8,8.9,7.5,7.3,6.1,9.1,99.69999999999999,82.1,121.43727161997563
オホーツク,オホーツク,雄武町,内道外客,0.1,0.1,0.3,0.5,0.5,0.5,0.4,0.7,0.4,0.6,0.8,0.9,5.8,3.2000000000000006,181.24999999999994
オホーツク,オホーツク,雄武町,内道内客,6.6000000000000005,10.700000000000001,9.1,8.5,10.4,7.699999999999999,5.3999999999999995,8.200000000000001,7.1,6.7,5.3,8.2,93.89999999999999,78.9,119.01140684410645
オホーツク,オホーツク,雄武町,内日帰客,6.1000000000000005,9.8,8.3,7.7,9.5,6.8999999999999995,4.8999999999999995,7.7,6.7,6.6,5.199999999999999,8.1,87.5,71.30000000000001,122.72089761570825
オホーツク,オホーツク,雄武町,内宿泊客,0.6,1.0,1.1,1.3,1.4,1.3,0.9,1.2,0.8,0.7,0.9,1.0,12.200000000000001,10.799999999999999,112.96296296296298
オホーツク,オホーツク,雄武町,宿泊客延数,0.6,1.0,1.1,1.3,1.4,1.3,0.9,1.2,0.8,0.7,0.9,1.0,12.200000000000001,10.799999999999999,112.96296296296298
オホーツク,オホーツク,大空町,入込総数,39.8,160.3,80.0,170.6,193.1,168.5,109.9,59.7,38.9,43.3,52.9,54.4,1171.4000000000003,935.1999999999998,125.25662959794701
オホーツク,オホーツク,大空町,内道外客,19.0,52.5,34.6,76.0,95.7,74.0,38.1,22.1,15.2,17.6,22.8,22.2,489.80000000000007,434.00000000000006,112.85714285714286
オホーツク,オホーツク,大空町,内道内客,20.799999999999997,107.80000000000001,45.4,94.6,97.39999999999999,94.5,71.80000000000001,37.6,23.7,25.699999999999996,30.099999999999998,32.2,681.6000000000001,501.19999999999993,135.9936153232243
オホーツク,オホーツク,大空町,内日帰客,39.3,159.60000000000002,79.2,169.4,191.29999999999998,166.6,108.4,58.400000000000006,38.4,42.699999999999996,51.9,53.9,1159.1000000000001,924.8999999999999,125.32165639528601
オホーツク,オホーツク,大空町,内宿泊客,0.5,0.7,0.8,1.2,1.8,1.9,1.5,1.3,0.5,0.6,1.0,0.5,12.3,10.3,119.41747572815532
オホーツク,オホーツク,大空町,宿泊客延数,0.5,0.7,0.8,1.2,1.8,1.9,1.7,1.5,0.5,0.6,1.1,0.6,12.899999999999999,10.799999999999999,119.44444444444444
十勝,十勝,帯広市,入込総数,153.1,249.7,246.2,412.0,768.2,289.2,148.3,107.6,83.3,70.5,95.7,80.4,2704.2000000000003,2481.8999999999996,108.95684757645354
十勝,十勝,帯広市,内道外客,53.1,86.6,85.3,142.8,266.3,100.2,42.1,30.6,23.7,20.0,27.2,22.8,900.7000000000002,814.1999999999999,110.6239253254729
十勝,十勝,帯広市,内道内客,100.0,163.1,160.89999999999998,269.2,501.90000000000003,189.0,106.20000000000002,77.0,59.599999999999994,50.5,68.5,57.60000000000001,1803.5,1667.7,108.14295137015051
十勝,十勝,帯広市,内日帰客,103.0,172.29999999999998,172.2,323.4,674.8000000000001,206.89999999999998,77.9,42.8,24.9,9.899999999999999,33.6,16.10000000000001,1857.8,1547.0,120.09049773755656
十勝,十勝,帯広市,内宿泊客,50.1,77.4,74.0,88.6,93.4,82.3,70.4,64.8,58.4,60.6,62.1,64.3,846.4,934.9000000000001,90.53374692480477
十勝,十勝,帯広市,宿泊客延数,73.1,98.3,99.4,115.8,128.1,111.0,106.4,89.8,77.3,78.5,81.6,81.2,1140.4999999999998,1078.4,105.75853115727001
十勝,十勝,音更町,入込総数,105.2,165.7,145.9,189.8,195.6,140.7,143.7,86.2,71.3,106.3,101.4,91.6,1543.3999999999999,1370.6000000000001,112.60761710199911
十勝,十勝,音更町,内道外客,17.9,28.2,37.9,54.2,41.1,32.1,29.8,12.3,11.0,21.3,30.6,19.3,335.70000000000005,324.70000000000005,103.3877425315676
十勝,十勝,音更町,内道内客,87.30000000000001,137.5,108.0,135.60000000000002,154.5,108.6,113.89999999999999,73.9,60.3,85.0,70.80000000000001,72.3,1207.6999999999998,1045.8999999999999,115.46993020365235
